Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),Revenues ($M)_cat,Profits ($M)_cat,Market Value ($M)_cat,Employees_cat,Assets ($M)_cat,Total Stockholder Equity ($M)_cat,Earnings Per Share ($)_cat,Revenues ($M)_cat_1,Revenues ($M)_cat_2,Revenues ($M)_cat_3,Revenues ($M)_cat_4,Revenues ($M)_cat_5,Profits ($M)_cat_1,Profits ($M)_cat_2,Profits ($M)_cat_3,Profits ($M)_cat_4,Profits ($M)_cat_5,Market Value ($M)_cat_1,Market Value ($M)_cat_2,Market Value ($M)_cat_3,Market Value ($M)_cat_4,Market Value ($M)_cat_5,Employees_cat_1,Employees_cat_2,Employees_cat_3,Employees_cat_4,Employees_cat_5,Assets ($M)_cat_1,Assets ($M)_cat_2,Assets ($M)_cat_3,Assets ($M)_cat_4,Assets ($M)_cat_5,Total Stockholder Equity ($M)_cat_1,Total Stockholder Equity ($M)_cat_2,Total Stockholder Equity ($M)_cat_3,Total Stockholder Equity ($M)_cat_4,Total Stockholder Equity ($M)_cat_5,Earnings Per Share ($)_cat_1,Earnings Per Share ($)_cat_2,Earnings Per Share ($)_cat_3,Earnings Per Share ($)_cat_4,Earnings Per Share ($)_cat_5
U.S.,Lake Oswego Ore.,Transportation Equipment,William A. Furman,https://www.gbrx.com,Public,GBX,3033.6,71.1,578.3,17100,2990.6,1276.7,2.3,2.4,5.6,2.14,-54.3,-9.1,0.0,-15.4,-7.6,13.4,2,2,1,4,2,2,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
U.S.,Fort Lauderdale Fla.,Computer Software,David J. Henshall,https://www.citrix.com,Public,CTXS,3010.6,681.8,17319.8,8400,4388.9,837.7,22.6,15.5,81.4,5.03,27.7,27.9,17.2,9.7,17.4,13.1,2,5,5,2,2,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
U.S.,Dallas Texas,Transportation Equipment,E. Jean Savage,https://www.trin.net,Public,TRN,3005.1,137.6,1923.6,11875,8701.4,2030.1,4.6,1.6,6.8,1.07,0.0,-23.9,0.0,10.9,4.2,15.4,2,2,2,3,4,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
U.S.,Cleveland Ohio,Industrial Machinery,Christopher L. Mapes,https://www.lincolnelectric.com,Public,LECO,3003.3,293.1,4150.8,11000,2371.2,818.2,9.8,12.4,35.8,4.68,7.1,8.0,23.4,25.4,9.1,15.8,2,3,3,3,1,2,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
U.S.,Houston Texas,Specialty Retailers: Apparel,Dinesh S. Lathi,https://www.tailoredbrands.com,Public,TLRD,2998.7,-82.3,84.3,16500,2419.0,-98.3,-2.7,-3.4,0.0,-1.65,-200.6,0.0,0.0,-66.6,-34.6,-12.1,2,1,1,4,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
U.S.,Milwaukee Wis.,Electronics Electrical Equip.,Kevin J. Wheeler,https://www.aosmith.com,Public,AOS,2992.7,370.0,6125.4,15100,3058.0,1666.8,12.4,12.1,22.2,2.22,-14.0,14.3,14.7,13.6,12.5,22.4,2,4,4,4,2,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
U.S.,Fort Smith Ark.,Trucking Truck Leasing,Judy R. McReynolds,https://www.arcb.com,Public,ARCB,2988.3,40.0,443.9,13000,1651.2,763.0,1.3,2.4,5.2,1.51,-39.8,-2.2,0.0,-18.6,-8.9,0.2,2,1,1,4,1,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
U.S.,Scottsdale Ariz.,Internet Services and Retailing,Aman Bhutani,https://www.godaddy.com,Public,GDDY,2988.1,137.0,9988.4,7024,6301.2,772.0,4.6,2.2,17.7,0.76,68.9,0.0,0.0,3.5,0.0,0.0,2,2,4,2,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
U.S.,St. George Utah,Airlines,Russell A. Childs,https://www.skywest.com,Public,SKYW,2972.0,340.1,1316.2,13700,6657.1,2175.0,11.4,5.1,15.6,6.62,24.9,0.0,16.2,46.6,38.4,15.6,2,3,2,4,3,3,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
U.S.,Boston Mass.,Real estate,Owen D. Thomas,https://www.bostonproperties.com,Public,BXP,2960.6,521.5,14306.9,760,21284.9,5684.7,17.6,2.5,9.2,3.3,-10.8,3.1,6.5,26.0,4.7,10.7,2,4,5,1,5,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
U.S.,Oklahoma City Okla.,Pipelines,Rodney J. Sailor,https://www.enablemidstream.com,Public,ENBL,2960.0,396.0,1118.5,1735,12266.0,7372.0,13.4,3.2,5.4,0.82,-26.1,-8.7,0.0,-17.5,-3.6,0.0,2,4,2,1,4,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
U.S.,Elgin Ill.,Industrial Machinery,Timothy J. FitzGerald,https://www.middleby.com,Public,MIDD,2959.4,352.2,3196.1,9778,5002.1,1946.8,11.9,7.0,18.1,6.33,11.1,13.2,19.1,6.6,2.0,21.0,2,4,3,3,3,3,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
U.S.,Houston Texas,Oil and Gas Equipment Services,David A. Cherechinsky,https://www.distributionnow.com,Public,DNOW,2951.0,-97.0,563.5,4300,1591.0,1144.0,-3.3,-6.1,-8.5,-0.89,-289.4,0.0,0.0,-3.4,-15.3,0.0,2,1,1,1,1,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
U.S.,Blue Bell Pa.,Information Technology Services,Peter A. Altabef,https://www.unisys.com,Public,UIS,2948.7,-17.2,776.8,20800,2504.0,-1265.4,-0.6,-0.7,0.0,-0.31,-123.8,0.0,0.0,2.0,-16.6,-11.1,2,1,1,4,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
U.S.,Van Buren Township Mich.,Motor Vehicles & Parts,Sachin S. Lawande,https://www.visteon.com,Public,VC,2945.0,70.0,1344.4,11000,2271.0,480.0,2.4,3.1,14.6,2.48,-55.1,0.0,0.0,43.6,6.6,0.0,2,2,2,3,1,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
U.S.,Calhoun Tenn.,Forest and Paper Products,Yves Laflamme,https://www.resolutefp.com,Public,RFP,2923.0,-47.0,109.2,6700,3626.0,1234.0,-1.6,-1.3,-3.8,-0.51,-120.2,0.0,0.0,-47.0,-22.3,0.0,2,1,1,2,2,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
U.S.,St. Louis Mo.,Specialty Retailers: Apparel,Diane M. Sullivan,https://www.caleres.com,Public,CAL,2921.6,62.8,208.2,11400,2431.7,646.0,2.2,2.6,9.7,1.53,0.0,-4.1,21.4,-13.7,-4.9,10.8,2,2,1,3,1,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
U.S.,Chicago Ill.,Medical Products and Equipment,John P. Groetelaars,https://www.hill-rom.com,Public,HRC,2907.3,152.2,6739.3,10000,4919.0,1573.3,5.2,3.1,9.7,2.25,-39.7,16.7,0.0,29.2,21.2,18.3,2,2,4,3,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
U.S.,East Aurora N.Y.,Aerospace & Defense,John R. Scannell,https://www.moog.com,Public,MOGA,2904.7,179.7,1713.1,12809,3114.2,1322.5,6.2,5.8,13.6,5.11,90.7,7.7,9.9,11.4,3.3,11.5,2,3,2,3,2,2,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
U.S.,Dallas Texas,Utilities: Gas and Electric,John K. Akers,https://www.atmosenergy.com,Public,ATO,2901.8,511.4,12132.5,4776,13367.6,5750.2,17.6,3.8,8.9,4.35,-19.9,8.0,7.7,23.1,17.7,17.9,2,4,5,1,4,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
U.S.,Fort Collins Colo.,Aerospace & Defense,Thomas A. Gendron,https://www.woodward.com,Public,WWD,2900.2,259.6,3698.1,9023,3956.5,1726.7,9.0,6.6,15.0,4.02,42.6,10.4,11.4,60.4,20.1,17.4,2,3,3,3,2,3,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
U.S.,Santa Clara Calif.,Network and Other Communications Equipment,Nikesh Arora,https://www.paloaltonetworks.com,Public,PANW,2899.6,-81.9,16347.6,7014,6592.2,1586.3,-2.8,-1.2,-5.2,-0.87,0.0,0.0,0.0,22.8,13.5,0.0,2,1,5,2,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
U.S.,St. Paul Minn.,Chemicals,James J. Owens,https://www.hbfuller.com,Public,FUL,2897.0,130.8,1435.9,6369,3985.7,1222.3,4.5,3.3,10.7,2.52,-23.4,21.0,4.0,22.5,4.3,9.8,2,2,2,2,2,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
U.S.,Cambridge Mass.,Internet Services and Retailing,F. Thomson Leighton,https://www.akamai.com,Public,AKAM,2893.6,478.0,14810.6,7724,7006.9,3658.0,16.5,6.8,13.1,2.9,64.8,9.5,14.0,41.4,6.5,13.0,2,4,5,2,3,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
U.S.,Reston Va.,Information Technology Services,Bruce L. Caswell,https://www.maximus.com,Public,MMS,2886.8,240.8,3721.5,29600,1745.7,1247.8,8.3,13.8,19.3,3.72,11.0,12.0,19.1,15.9,6.9,20.3,2,3,3,5,1,2,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
U.S.,Waltham Mass.,ScientificPhotographic and Control Equipment,Prahlad R. Singh,https://www.perkinelmer.com,Public,PKI,2883.7,227.6,8379.0,13000,6538.6,2813.8,7.9,3.5,8.1,2.04,-4.2,8.0,10.8,24.0,17.8,17.6,2,3,4,4,3,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
U.S.,Honolulu Hawaii,Utilities: Gas and Electric,Constance H. Lau,https://www.hei.com,Public,HE,2874.6,217.9,4698.7,3841,13745.3,2280.3,7.6,1.6,9.6,1.99,7.6,3.9,8.1,31.5,10.9,13.1,2,3,3,1,4,3,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
U.S.,Kansas City Mo.,Railroads,Patrick J. Ottensmeyer,https://www.kcsouthern.com,Public,KSU,2866.0,538.9,12228.5,7040,9786.8,4422.5,18.8,5.5,12.2,5.4,-11.9,3.5,24.4,62.5,6.1,17.6,2,4,5,2,4,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
U.S.,Crystal Lake Ill.,Packaging Containers,Stephan B. Tanda,https://www.aptar.com,Public,ATR,2859.7,242.2,6474.7,14000,3562.1,1571.9,8.5,6.8,15.4,3.66,22.0,5.1,7.4,24.5,13.3,14.2,2,3,4,4,2,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
U.S.,Glendale Calif.,Real estate,Joseph D. Russell Jr.,https://www.publicstorage.com,Public,PSA,2846.8,1520.5,34684.6,5900,11365.4,9062.9,53.4,13.4,16.8,7.29,-14.6,6.8,7.7,9.0,6.5,13.8,2,5,5,2,4,5,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
U.S.,Branchville N.J.,Insurance: Property and Casualty (Stock),John J. Marchioni,https://www.selective.com,Public,SIGI,2846.5,271.6,2967.5,2400,8797.2,2194.9,9.5,3.1,12.4,4.53,51.0,12.9,20.9,8.2,20.9,17.2,2,3,3,1,4,3,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
U.S.,White Plains N.Y.,Industrial Machinery,Luca Savi,https://www.itt.com,Public,ITT,2846.4,325.1,3992.8,10500,4107.7,2074.9,11.4,7.9,15.7,3.67,-2.4,13.0,-6.3,54.5,14.1,16.7,2,3,3,3,2,3,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
U.S.,Minneapolis Minn.,Industrial Machinery,Tod E. Carpenter,https://www.donaldson.com,Public,DCI,2844.9,267.2,4897.2,14100,2142.6,887.3,9.4,12.5,30.1,2.05,50.7,3.1,9.4,34.9,10.2,12.1,2,3,3,4,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
U.S.,Tysons Va.,Real estate,Thomas J. Baltimore Jr.,https://www.pkhotelsandresorts.com,Public,PK,2844.0,306.0,1898.3,488,11290.0,6496.0,10.8,2.7,4.7,1.44,-37.7,0.0,0.0,8.3,0.0,0.0,2,3,2,1,4,5,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
U.S.,Houston Texas,Shipping,David W. Grzebinski,https://www.kirbycorp.com,Public,KEX,2838.4,142.3,2608.1,5550,6079.1,3368.6,5.0,2.3,4.2,2.37,80.9,-13.6,0.1,32.9,2.1,9.9,2,2,3,2,3,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
U.S.,Honolulu Hawaii,Airlines,Peter R. Ingram,https://www.hawaiianairlines.com,Public,HA,2832.2,224.0,479.7,7437,4126.6,1081.8,7.9,5.4,20.7,4.71,1.9,33.8,7.8,12.9,3.0,15.8,2,3,1,2,2,2,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
U.S.,Hato Rey Puerto Rico,Commercial Banks,Ignacio Alvarez,https://www.popular.com,Public,BPOP,2830.7,671.1,3103.3,8560,52115.3,6016.8,23.7,1.3,11.2,6.88,13.5,0.0,11.1,27.2,13.6,11.0,2,5,3,3,5,5,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
U.S.,Merrimack N.H.,Wholesalers: Electronics and Office Equipment,Timothy J. McGrath,https://www.connection.com,Public,CNXN,2820.0,82.1,1085.7,2609,937.3,597.3,2.9,8.8,13.7,3.1,28.6,14.0,0.0,68.7,16.4,24.0,2,2,2,1,1,1,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
U.S.,Reading Pa.,Electronics Electrical Equip.,David M. Shaffer,https://www.enersys.com,Public,ENS,2808.0,160.2,2095.1,11000,3118.2,1282.3,5.7,5.1,12.5,3.73,34.7,4.3,8.1,-2.6,5.0,13.9,2,2,2,3,2,2,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
U.S.,Tulsa Okla.,Oil and Gas Equipment Services,John W. Lindsay,https://www.hpinc.com,Public,HP,2798.5,-33.7,1703.9,8502,5839.5,4012.2,-1.2,-0.6,-0.8,-0.34,-107.8,0.0,0.0,1.0,-2.9,4.5,2,1,2,3,3,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
U.S.,Omaha Neb.,Metals,Stephen G. Kaniewski,https://www.valmont.com,Public,VMI,2767.0,153.8,2281.1,9862,2763.4,1111.5,5.6,5.6,13.8,7.06,68.1,-0.1,2.1,36.6,4.6,7.7,2,2,2,3,2,2,5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
U.S.,Louisville Ky.,Food Services,W. Kent Taylor,https://www.texasroadhouse.com,Public,TXRH,2756.2,174.5,2866.5,35554,1983.6,916.0,6.3,8.8,19.0,2.46,11.8,14.9,13.9,-3.6,12.9,19.6,2,3,3,5,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
U.S.,Findlay Ohio,Motor Vehicles & Parts,Bradley E. Hughes,https://www.coopertire.com,Public,CTB,2752.6,96.4,819.3,8720,2802.3,1264.6,3.5,3.4,7.6,1.91,26.5,-11.0,8.4,-9.8,-2.4,5.4,2,2,1,3,2,2,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
U.S.,Leawood Kans.,Financial Data Services,Michael J. Brown,https://www.euronetworldwide.com,Public,EEFT,2750.1,346.7,4587.7,7700,4657.7,1579.3,12.6,7.4,22.0,6.31,48.1,27.3,26.7,53.9,23.5,21.8,2,3,3,2,2,3,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
U.S.,Seattle Wash.,Internet Services and Retailing,Richard N. Barton,https://www.zillowgroup.com,Public,ZG,2742.8,-305.4,7411.2,5249,6132.0,3435.4,-11.1,-5.0,-8.9,-1.48,0.0,0.0,0.0,45.5,5.3,0.0,2,1,4,2,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
U.S.,St. Louis Mo.,Household and Personal Products,Alan R. Hoskins,https://www.energizerholdings.com,Public,ENR,2729.6,51.1,2100.3,7500,5449.6,543.8,1.9,0.9,9.4,0.58,-61.8,0.0,0.0,14.2,0.0,0.0,2,1,2,2,3,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
U.S.,Tulsa Okla.,Pipelines,Michael N. Mears,https://www.magellanlp.com,Public,MMP,2727.9,1020.8,8309.7,1884,8437.7,2715.0,37.4,12.1,37.6,4.46,-23.6,3.9,14.9,17.6,-0.3,16.8,2,5,4,1,4,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
U.S.,Lake Success N.Y.,Food Consumer Products,Mark L. Schiller,https://www.hain.com,Public,HAIN,2710.6,-183.3,2710.9,5441,2582.6,1519.3,-6.8,-7.1,-12.1,-1.76,-2055.6,0.0,0.0,63.7,-14.9,11.8,2,1,3,2,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
U.S.,Chicago Ill.,Real estate,Mark J. Parrell,https://www.equityapartments.com,Public,EQR,2701.1,970.4,22954.8,2700,21172.8,10315.5,35.9,4.6,9.4,2.6,46.9,8.5,7.4,26.2,8.9,14.3,2,5,5,1,5,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
U.S.,Indianapolis Ind.,Motor Vehicles & Parts,David S. Graziosi,https://www.allisontransmission.com,Public,ALSN,2698.0,604.0,3818.5,3700,4450.0,781.0,22.4,13.6,77.3,4.91,2.7,31.5,0.0,11.5,9.2,0.0,2,4,3,1,2,2,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
U.S.,Los Angeles Calif.,Real estate,Marc C. Ganzi,https://www.clny.com,Public,CLNY,2689.6,-1048.8,852.9,400,19832.2,5216.0,-39.0,-5.3,-20.1,-2.41,0.0,0.0,0.0,10.0,-21.6,0.0,2,1,1,1,5,5,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
U.S.,Santa Ana Calif.,Semiconductors and Other Electronic Components,Thomas T. Edman,https://www.ttm.com,Public,TTMI,2689.3,41.3,1095.6,25700,3560.9,1279.0,1.5,1.2,3.2,0.39,-71.7,16.7,13.5,54.7,14.9,2.7,2,1,2,5,2,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
U.S.,San Antonio Texas,Advertising marketing,C. William Eccleshare,https://www.clearchanneloutdoor.com,Public,CCO,2683.8,-363.3,298.5,5900,6393.3,-2207.5,-13.5,-5.7,0.0,-0.88,0.0,0.0,0.0,-44.9,-14.4,-2.8,2,1,1,2,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
U.S.,Los Angeles Calif.,Specialty Retailers: Apparel,Carlos E. Alberini,https://www.guess.com,Public,GES,2678.1,96.0,444.4,15800,2429.0,639.7,3.6,4.0,15.0,1.33,731.3,3.7,-6.5,11.8,6.4,-1.7,2,2,1,4,1,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
U.S.,Plano Texas,Specialty Retailers: Other,Mitchell E. Fadel,https://www.rentacenter.com,Public,RCII,2669.9,173.5,781.0,14500,1582.8,459.0,6.5,11.0,37.8,3.1,1837.5,11.4,2.1,79.9,-2.5,7.1,2,2,1,4,1,1,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
U.S.,New York N.Y.,Entertainment,Strauss H. Zelnick,https://www.take2games.com,Public,TTWO,2668.4,333.8,13453.3,4894,4243.1,2040.6,12.5,7.9,16.4,2.9,88.3,-1.9,0.0,18.9,34.3,28.4,2,3,5,2,2,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
U.S.,Malvern Pa.,Semiconductors and Other Electronic Components,Gerald Paul,https://www.vishay.com,Public,VSH,2668.3,163.9,2084.3,22400,3120.8,1485.1,6.1,5.3,11.0,1.13,-49.6,8.0,0.0,20.7,10.5,16.5,2,2,2,4,2,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
U.S.,Chicago Ill.,Financial Data Services,Christopher A. Cartwright,https://www.transunion.com,Public,TRU,2656.1,346.9,12560.0,8000,7113.2,2245.4,13.1,4.9,15.4,1.81,24.8,0.0,0.0,51.3,0.0,0.0,2,3,5,2,3,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
U.S.,San Ramon Calif.,Medical Products and Equipment,Albert G. White III,https://www.coopercos.com,Public,COO,2653.4,466.7,14701.6,12000,6274.5,3628.4,17.6,7.4,12.9,9.33,232.0,11.1,15.5,26.3,14.7,23.8,2,4,5,3,3,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
U.S.,Atlanta Ga.,Financial Data Services,Ronald F. Clarke,https://www.fleetcor.com,Public,FLT,2648.8,895.1,15935.9,8700,12248.5,3711.6,33.8,7.3,24.1,9.94,12.8,18.6,0.0,54.9,14.1,0.0,2,5,5,3,4,4,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
U.S.,Corte Madera Calif.,Specialty Retailers: Other,Gary G. Friedman,https://www.rh.com,Public,RH,2647.4,220.4,1932.9,4750,2445.7,18.7,8.3,9.0,1181.6,9.07,59.7,32.8,0.0,78.2,17.3,0.0,2,3,2,1,1,1,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
U.S.,Ames Iowa,Petroleum Refining,Cynthia J. Warner,https://www.regi.com,Public,REGI,2643.2,380.1,801.0,829,1785.3,1131.9,14.4,21.3,33.6,8.78,35.5,34.6,0.0,4.9,22.7,0.0,2,4,1,1,1,2,5,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
U.S.,Marietta Ga.,Wholesalers: Diversified,Mitchell B. Lewis,https://www.bluelinxco.com,Public,BXC,2637.3,-17.7,46.4,2189,971.4,-26.1,-0.7,-1.8,0.0,-1.89,0.0,0.0,0.0,-42.3,4.2,-6.4,2,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
U.S.,Santa Clarita Calif.,Mining Crude-Oil Production,Todd A. Stevens,https://www.crc.com,Public,CRC,2634.0,-28.0,49.4,1250,6958.0,-389.0,-1.1,-0.4,0.0,-0.57,-108.4,0.0,0.0,-47.0,-30.3,0.0,2,1,1,1,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
